Was ist eine Funktion \( f: A \to B \)?;Eine Relation, bei der es zu jedem \( a \in A \) genau ein \( b \in B \) gibt.
Was ist das "Urbild" einer Funktion?;Die Menge aus A, für die gilt \( \exists b \in B: aRb \).
Was ist das "Bild" einer Funktion?;Die Menge aus B, für die gilt \( \exists a \in A: aRb \).
Wann ist eine Funktion injektiv?;Wenn verschiedene Elemente aus A immer auf verschiedene Elemente in B abgebildet werden (\( a_1 \neq a_2 \Rightarrow f(a_1) \neq f(a_2) \)).
Wann ist eine Funktion surjektiv?;Wenn jedes Element aus B mindestens einmal als Funktionswert vorkommt.
Wann ist eine Funktion bijektiv?;Wenn sie injektiv und surjektiv ist (jedes \( b \) wird von genau einem \( a \) getroffen).
Was ist eine binäre Operation?;Eine Abbildung \( A \times A \to A \), die zwei Elementen ein neues zuordnet.
Was bedeutet "Abgeschlossenheit" bei einer Operation?;Das Ergebnis der Verknüpfung liegt wieder in der Menge selbst.
Was ist eine Halbgruppe?;Ein Gruppoid, das assoziativ ist.
Was ist eine Gruppe?;Ein Monoid, in dem jedes Element ein Inverses besitzt.
Was ist eine abelsche Gruppe?;Eine Gruppe, die zusätzlich kommutativ ist.
Was ist eine Untergruppe?;Eine Teilmenge einer Gruppe, die selbst eine Gruppe ist.
Was sind die 3 Kriterien für eine Untergruppe?;1. Neutrales Element enthalten. 2. Abgeschlossenheit (\( a \circ b \in U \)). 3. Inverses enthalten (\( a^{-1} \in U \)).
Was ist der Index einer Untergruppe?;Die Anzahl der Nebenklassen von U in G.
Was ist eine zyklische Gruppe?;Eine Gruppe, die von einem einzigen Element \( a \) erzeugt wird (\( \langle a \rangle = G \)).
Was ist ein Gruppenhomomorphismus?;Eine Abbildung, die die Struktur erhält: \( \phi(a \circ b) = \phi(a) * \phi(b) \).
Was ist der Kern eines Homomorphismus?;Die Menge aller Elemente aus \( G \), die auf das neutrale Element von \( H \) abgebildet werden.
Was ist ein Ring?;Eine Menge mit zwei Operationen \( (+, \cdot) \): \( (R,+) \) ist abelsche Gruppe, \( (R,\cdot) \) ist Halbgruppe, Distributivgesetze gelten.
Was ist ein Integritätsring?;Ein kommutativer Ring mit Eins, der keine Nullteiler hat.
Was ist ein Körper?;Ein kommutativer Ring mit Eins (\( 1 \neq 0 \)), in dem jedes Element außer 0 ein multiplikatives Inverses hat.
Was ist ein Verband?;Eine Struktur mit zwei Operationen \( (\land, \lor) \), die beide kommutative Halbgruppen sind und die Verschmelzungsgesetze erfüllen.
Was sind die Verschmelzungsgesetze im Verband?;\( a = a \land (a \lor b) \) und \( a = a \lor (a \land b) \).
Wie sind Potenzen \( a^n \) in einer Gruppe definiert?;Für \( n>0 \) als \( a^n=a\circ\ldots\circ a \), für \( n=0 \) als neutrales Element, für \( n<0 \) als \( (a^{-1})^{-n} \).
Was ist das Bild eines Gruppenhomomorphismus?;Die Menge aller Elemente aus \( H \), die von mindestens einem Element aus \( G \) getroffen werden.
Was ist ein kommutativer Ring?;Ein Ring, bei dem die Multiplikation kommutativ ist (\( a \cdot b = b \cdot a \)).
Wann gilt bei einem Gruppenhomomorphismus \( \varphi \), dass er injektiv ist?;Genau dann, wenn der Kern nur aus dem neutralen Element besteht (\( \ker(\varphi)=\{e\} \)).